City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,282.49,80,80,1.79,NZ,1692948492
1,papatowai,-46.5619,169.4708,282.28,95,88,0.62,NZ,1692948521
2,edinburgh of the seven seas,-37.0676,-12.3116,287.46,97,100,7.92,SH,1692948489
3,wynyard,-41.0,145.7167,283.67,63,13,4.81,AU,1692948553
4,puerto natales,-51.7236,-72.4875,271.55,92,92,0.66,CL,1692948553
5,aroma,15.8167,36.1333,306.71,45,6,7.19,SD,1692948554
6,nova sintra,14.8667,-24.7167,297.13,71,43,2.26,CV,1692948554
7,kainan,34.15,135.2,303.42,71,5,6.12,JP,1692948485
8,cabo san lucas,22.8909,-109.9124,303.99,73,46,2.9,MX,1692948302
9,hawaiian paradise park,19.5933,-154.9731,295.88,86,75,1.54,US,1692948483
10,weno,7.4515,151.8468,302.12,84,75,4.12,FM,1692948254
11,grytviken,-54.2811,-36.5092,270.34,84,15,3.25,GS,1692948498
12,ribeira grande,38.5167,-28.7,295.37,78,40,8.05,PT,1692948538
13,kununurra,-15.7667,128.7333,306.14,15,0,5.14,AU,1692948535
14,carnarvon,-24.8667,113.6333,297.18,48,0,6.37,AU,1692948556
15,yellowknife,62.456,-114.3525,291.16,83,100,1.79,CA,1692948220
16,thompson,55.7435,-97.8558,279.24,100,0,2.57,CA,1692948485
17,peace river,56.2501,-117.286,286.85,100,0,2.06,CA,1692948557
18,atafu village,-8.5421,-172.5159,301.24,80,100,5.75,TK,1692948514
19,port-aux-francais,-49.35,70.2167,276.95,80,69,21.79,TF,1692948486
20,mangrol,21.1167,70.1167,301.4,75,100,7.69,IN,1692948559
21,mirny,62.5353,113.9611,296.06,40,32,1.79,RU,1692948554
22,utrik,11.2278,169.8474,300.88,79,70,4.68,MH,1692948482
23,pingliang,35.5392,106.6861,289.28,90,100,2.91,CN,1692948560
24,al hazm,16.1641,44.7769,308.92,14,15,1.03,YE,1692948560
25,kerikeri,-35.2268,173.9474,283.66,88,100,0.7,NZ,1692948308
26,monkey bay,-14.0728,34.9201,297.81,49,13,1.0,MW,1692948561
27,thunder bay,48.4001,-89.3168,289.14,100,0,1.54,CA,1692948555
28,east london,-33.0153,27.9116,296.03,32,62,2.48,ZA,1692947935
